num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
1,Adam Loch,multiple-field,Oceania,Adelaide,22,617,35,527,278.37205319500015,1464,1407.0,996,67,442,0,3283,0,3965,33.5,504,0,3203,35,538,17.5,716,139.18602659750007,1877,278.37205319500015,1277,0.0,3261
2,Akwasi Ampofo,development,Oceania,Adelaide,4,3256,2,3404,59.54829972383762,2995,92.0,3183,6,3475,0,3283,0,3965,3.0,3545,0,3203,2,3459,1.0,3730,29.77414986191881,3140,59.54829972383762,2859,0.0,3261
3,Benedikt Heid,i_trade,Oceania,Adelaide,9,1992,9,1961,160.44625268294675,2035,403.0,2008,15,2273,0,3283,0,3965,7.5,2418,0,3203,9,2003,4.5,2297,80.22312634147337,2323,160.44625268294675,1847,0.0,3261
4,Craig Johns,development,Oceania,Adelaide,2,3967,0,4385,5.477225575051661,4293,10.0,4201,4,3855,0,3283,0,3965,2.0,3907,0,3203,0,4408,0.0,4504,2.7386127875258306,4303,5.477225575051661,4246,0.0,3261
5,Di Zeng,development,Oceania,Adelaide,11,1625,12,1604,165.7015389186232,2001,463.0,1898,22,1700,0,3283,0,3965,11.0,1825,0,3203,12,1632,6.0,1923,82.8507694593116,2296,165.7015389186232,1812,0.0,3261
6,Duygu Yengin,micro_theory,Oceania,Adelaide,7,2425,6,2423,47.53945729601885,3183,140.0,2897,17,2079,0,3283,3,2072,8.5,2203,0,3203,6,2464,3.5,2589,23.769728648009426,3295,47.53945729601885,3056,0.0,3261
7,Fiona Yap,political_econ,Oceania,Adelaide,6,2677,4,2824,35.62302626111375,3415,119.0,3011,29,1320,0,3283,0,3965,14.5,1436,0,3203,4,2882,2.0,3174,17.811513130556875,3504,35.62302626111375,3308,0.0,3261
8,Firmin Doko Tchatoka,multiple-field,Oceania,Adelaide,7,2425,4,2824,62.34580980306536,2958,173.0,2737,25,1518,0,3283,4,1786,12.5,1623,0,3203,4,2882,4.0,2445,31.17290490153268,3105,62.34580980306536,2820,0.0,3261
9,Genevieve Knight,labor,Oceania,Adelaide,4,3256,2,3404,42.261093218230876,3301,72.0,3336,5,3656,0,3283,0,3965,2.5,3719,0,3203,2,3459,1.0,3730,21.130546609115438,3397,42.261093218230876,3181,0.0,3261
10,George Stamatescu,other,Oceania,Adelaide,2,3967,1,3809,18.681541692269406,3842,23.0,3937,3,4085,0,3283,0,3965,1.5,4125,0,3203,1,3860,0.5,4086,9.340770846134703,3871,18.681541692269406,3744,0.0,3261
11,Hammed Oluwaseyi Musibau,development,Oceania,Adelaide,12,1477,13,1510,245.07141816213493,1602,680.0,1578,26,1461,0,3283,0,3965,13.0,1571,0,3203,13,1535,6.5,1818,122.53570908106747,1973,245.07141816213493,1413,0.0,3261
12,Jacob Wong,macro,Oceania,Adelaide,2,3967,0,4385,10.295630140987,4086,14.0,4102,2,4322,0,3283,0,3965,1.0,4350,0,3203,0,4408,0.0,4504,5.1478150704935,4102,10.295630140987,4022,0.0,3261
13,Kostas Mavromaras,labor,Oceania,Adelaide,16,1038,23,906,198.04797398610268,1816,797.0,1436,37,989,0,3283,1,2917,18.5,1111,0,3203,23,925,11.5,1143,99.02398699305134,2137,198.04797398610268,1620,0.0,3261
14,Kym Anderson,i_trade,Oceania,Adelaide,36,203,122,51,576.0720441055962,824,4795.0,364,318,9,0,3283,2,2431,159.0,11,0,3203,122,52,61.5,67,288.0360220527981,1381,576.0720441055962,654,0.0,3261
15,Mark Dodd,behavior-experiment,Oceania,Adelaide,3,3600,1,3809,124.65151423067431,2277,142.0,2879,3,4085,0,3283,0,3965,1.5,4125,0,3203,1,3860,0.5,4086,62.325757115337154,2519,124.65151423067431,2101,0.0,3261
16,Nadezhda Baryshnikova,multiple-field,Oceania,Adelaide,5,2944,2,3404,38.98717737923585,3349,76.0,3301,11,2737,0,3283,0,3965,5.5,2853,0,3203,2,3459,1.0,3730,19.493588689617926,3439,38.98717737923585,3236,0.0,3261
17,Panharoth Chhay,development,Oceania,Adelaide,3,3600,3,3094,25.65151067676132,3637,46.0,3618,5,3656,0,3283,0,3965,2.5,3719,0,3203,3,3149,1.5,3437,12.82575533838066,3688,25.65151067676132,3528,0.0,3261
